"subject id","activity","signal name","mean","std"
1,"laying","tBodyAcc X",0.2216,-0.9281
1,"sitting","tBodyAcc X",0.2612,-0.9772
1,"standing","tBodyAcc X",0.2789,-0.9958
1,"walking","tBodyAcc X",0.2773,-0.2837
1,"walking downstairs","tBodyAcc X",0.2892,0.03
1,"walking upstairs","tBodyAcc X",0.2555,-0.3547
1,"laying","tBodyAcc Y",-0.0405,-0.8368
1,"sitting","tBodyAcc Y",-0.0013,-0.9226
1,"standing","tBodyAcc Y",-0.0161,-0.9732
1,"walking","tBodyAcc Y",-0.0174,0.1145
1,"walking downstairs","tBodyAcc Y",-0.0099,-0.0319
1,"walking upstairs","tBodyAcc Y",-0.024,-0.0023
1,"laying","tBodyAcc Z",-0.1132,-0.8261
1,"sitting","tBodyAcc Z",-0.1045,-0.9396
1,"standing","tBodyAcc Z",-0.1106,-0.9798
1,"walking","tBodyAcc Z",-0.1111,-0.26
1,"walking downstairs","tBodyAcc Z",-0.1076,-0.2304
1,"walking upstairs","tBodyAcc Z",-0.0973,-0.0195
1,"laying","tGravityAcc X",-0.2489,-0.8968
1,"sitting","tGravityAcc X",0.8315,-0.9685
1,"standing","tGravityAcc X",0.943,-0.9938
1,"walking","tGravityAcc X",0.9352,-0.9766
1,"walking downstairs","tGravityAcc X",0.9319,-0.9506
1,"walking upstairs","tGravityAcc X",0.8934,-0.9564
1,"laying","tGravityAcc Y",0.7055,-0.9077
1,"sitting","tGravityAcc Y",0.2044,-0.9355
1,"standing","tGravityAcc Y",-0.273,-0.9812
1,"walking","tGravityAcc Y",-0.2822,-0.9713
1,"walking downstairs","tGravityAcc Y",-0.2666,-0.937
1,"walking upstairs","tGravityAcc Y",-0.3622,-0.9528
1,"laying","tGravityAcc Z",0.4458,-0.8524
1,"sitting","tGravityAcc Z",0.332,-0.949
1,"standing","tGravityAcc Z",0.0135,-0.9763
1,"walking","tGravityAcc Z",-0.0681,-0.9477
1,"walking downstairs","tGravityAcc Z",-0.0621,-0.8959
1,"walking upstairs","tGravityAcc Z",-0.0754,-0.9124
1,"laying","tBodyAccJerk X",0.0811,-0.9585
1,"sitting","tBodyAccJerk X",0.0775,-0.9864
1,"standing","tBodyAccJerk X",0.0754,-0.9946
1,"walking","tBodyAccJerk X",0.074,-0.1136
1,"walking downstairs","tBodyAccJerk X",0.0542,-0.0123
1,"walking upstairs","tBodyAccJerk X",0.1014,-0.4468
1,"laying","tBodyAccJerk Y",0.0038,-0.9241
1,"sitting","tBodyAccJerk Y",-6e-04,-0.9814
1,"standing","tBodyAccJerk Y",0.008,-0.9856
1,"walking","tBodyAccJerk Y",0.0283,0.067
1,"walking downstairs","tBodyAccJerk Y",0.0297,-0.1016
1,"walking upstairs","tBodyAccJerk Y",0.0195,-0.3783
1,"laying","tBodyAccJerk Z",0.0108,-0.9549
1,"sitting","tBodyAccJerk Z",-0.0034,-0.9879
1,"standing","tBodyAccJerk Z",-0.0037,-0.9923
1,"walking","tBodyAccJerk Z",-0.0042,-0.5027
1,"walking downstairs","tBodyAccJerk Z",-0.011,-0.3457
1,"walking upstairs","tBodyAccJerk Z",-0.0456,-0.7066
1,"laying","tBodyGyro X",-0.0166,-0.8735
1,"sitting","tBodyGyro X",-0.0454,-0.9772
1,"standing","tBodyGyro X",-0.024,-0.9872
1,"walking","tBodyGyro X",-0.0418,-0.4735
1,"walking downstairs","tBodyGyro X",-0.0351,-0.458
1,"walking upstairs","tBodyGyro X",0.0505,-0.5449
1,"laying","tBodyGyro Y",-0.0645,-0.9511
1,"sitting","tBodyGyro Y",-0.0919,-0.9665
1,"standing","tBodyGyro Y",-0.0594,-0.9877
1,"walking","tBodyGyro Y",-0.0695,-0.0546
1,"walking downstairs","tBodyGyro Y",-0.0909,-0.1263
1,"walking upstairs","tBodyGyro Y",-0.1662,0.0041
1,"laying","tBodyGyro Z",0.1487,-0.9083
1,"sitting","tBodyGyro Z",0.0629,-0.9414
1,"standing","tBodyGyro Z",0.0748,-0.9806
1,"walking","tBodyGyro Z",0.0849,-0.3443
1,"walking downstairs","tBodyGyro Z",0.0901,-0.1247
1,"walking upstairs","tBodyGyro Z",0.0584,-0.5072
